trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
577,False,"{'a': 0.9968899451029695, 'e': 0.003030451115709697}",25,13,22.8424757081224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
578,False,"{'a': 0.9969207953785226, 'e': 0.0030001466045526}",20,5,29.30619872835382,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.9969513405697762, 'e': 0.002970145138507074}",20,0,27.771912472639066,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
580,False,"{'a': 0.9969815836752917, 'e': 0.002940443687122003}",30,13,29.455002869848574,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
581,False,"{'a': 0.9970115276645228, 'e': 0.002911039250250783}",20,8,20.743139056259476,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
582,False,"{'a': 0.9970411754780928, 'e': 0.0028819288577482754}",25,5,35.665455577393274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
583,False,"{'a': 0.9970705300280651, 'e': 0.0028531095691707925}",25,11,26.326320815646636,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
584,False,"{'a': 0.9970995941982158, 'e': 0.0028245784734790844}",20,10,17.7502852306987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
585,False,"{'a': 0.9971283708442995, 'e': 0.0027963326887442937}",20,8,23.77138683530999,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
586,False,"{'a': 0.9971568627943171, 'e': 0.0027683693618568506}",20,8,23.16803406388418,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
587,False,"{'a': 0.997185072848777, 'e': 0.002740685668238282}",20,10,13.939320636551956,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
588,False,"{'a': 0.9972130037809578, 'e': 0.0027132788115558993}",30,15,30.09558759054567,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
589,False,"{'a': 0.9972406583371649, 'e': 0.0026861460234403403}",25,17,16.035973886678228,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.997268039236989, 'e': 0.002659284563205937}",30,4,45.97483046976466,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
591,False,"{'a': 0.9972951491735571, 'e': 0.0026326917175738774}",20,5,28.67428431649393,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
