trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,5,-1.1121851150339912,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,6,13.442210293106777,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,0,-129.54328711872978,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,6,-32.949323765760134,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,11,9.851136336123156,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",25,0,-21.67731759055132,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,13,-30.461068152921246,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,0,-45.29358866274858,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",30,0,-31.394066369507183,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,0,-66.94189413632968,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,4,18.454745916255945,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",20,12,-6.072030896931785,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,0,-27.817940888945998,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",20,0,7.437565868085971,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,5,-43.75214510964646,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,1,10.571201396392727,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",30,3,-108.37233174168512,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 2}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",25,11,26.948982940718476,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,17,13.386199862168262,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",35,21,-8.995930522345432,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,21.271765606880702,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",20,6,-89.81845898262497,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 2}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",30,13,-30.411973014697708,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,0,-43.250568448645545,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",30,12,-5.295320008458699,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,3,8.469978518082664,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,3,11.056139360500591,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,13,11.635601334062347,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,13,12.599853574054325,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",30,12,-33.016651460436776,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,14,-35.63005096136017,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",25,20,8.027418556454704,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,14,0.9635403499279986,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",20,0,-52.10447657697705,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
